name,Actor,Gender,Hair,Age,Occupation,Family,First Appearance,Last Appearance,Death Episode,Cause of Death,Status,Series Lifespan,Ethnicity
Jeffries,Unknown,Male,Black,Early to mid 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Slabtown""","""Slabtown""","""Slabtown""",Attacked by a zombified Joan (Alive)Put down by Dawn Lerner (Before Reanimation),Dead,,African-American
Gorman,Cullen Moss,Male,Brown,Late 30s,Police officer (Pre- and Post-Apocalypse),Unknown,"""Slabtown""","""Slabtown""","""Slabtown""",Knocked out by Beth Greene and then devoured by a zombified Joan (Alive)Put down by Dawn Lerner (Before Reanimation),Dead,,Caucasian-American
Joan,Keisha Castle-Hughes,Female,Brown,Mid to late 20s,Unknown,Unknown,"""Slabtown""","""Slabtown""","""Slabtown"" (Alive and Zombified)",Cut open her own stitching to bleed herself out (Alive)Put down by Dawn Lerner (Zombified),Dead,,Caucasian-American
Gavin Trevitt,Timothy Scott,Male,Brown,Late 30s,Oncologist (Pre-Apocalypse),Unknown,"""Slabtown""","""Slabtown""","""Slabtown""",Injection of clozapine given by Beth Greene. (Alive)Stabbed in the head by Dawn Lerner. (Before Reanimation),Dead,,Caucasian-American
Hanson,Luke Bryant,Male,Brown,Late 20s to mid 30s,Police officer - Captain (Pre- and Post-Apocalypse)Former Leader of Grady Memorial Hospital (Post-Apocalypse),Unknown,"""Slabtown"" (Photograph)","""Coda"" (Photograph)","""Slabtown""  (Confirmed Fate) ",Killed by Dawn Lerner,Dead,,Caucasian-American
Aaron,Ross Marquand,Male,Brown,Mid to late 30s,Former Politician (Pre-Apocalypse)NGO Worker (Pre-Apocalypse)Former Recruiter for the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Councilmember for the Alexandria Safe-Zone (Post-Apocalypse),Eric Raleigh - Former Boyfriend (Deceased)Gracie - Adopted Daughter(Unnamed) - Mother (Deceased),"""Them""",,,,Alive,"	    ""Them"" to Present",Caucasian-American
Enid,Katelyn Nacon,Female,Brown,Early 20s,Middle School Student (Pre-Apocalypse)Member of the Militia (Post-Apocalypse)Doctor for the Hilltop Colony (Post-Apocalypse),(Unnamed) - Mother (Deceased)(Unnamed) - Father (Deceased)Ron Anderson - Ex-Boyfriend (Deceased)Carl Grimes - Former Boyfriend (Deceased)Alden - Boyfriend,"""Remember""",,,,Alive,"	    ""Remember"" to Present",Caucasian-American
Barbara,Mandi Christine Kerr,Female,Auburn,Mid to Late 30s,Babysitter (Post-Apocalypse)Gardener for the Alexandria Safe-Zone (Post-Apocalypse),(Unnamed) - Son (Deceased) (Unnamed) - Daughter[1] (Deceased),"""Forget""",,,,Alive,"	    ""Forget"" to Present",Caucasian-American
Scott,Kenric Green,Male,Black,Mid 30s to Early 40s,Supply Runner for the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Alexandria prison guard (Post-Apocalypse),Unknown,"""First Time Again""",,,,Alive,"	    ""First Time Again"" to Present",African-American
Mrs. Robinson,Jennifer Riker,Female,Brown,Early 40s,Gardener for The Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""The Obliged""",,,,Alive,"	    ""The Obliged"" to Present",Caucasian-American
Nora,Tamara Austin,Female,Black,Early 30s,Gardener for the Alexandria Safe-Zone (Post-Apocalypse)Alexandria Coucilmember (Post-Apocalypse),Unknown,"""The Obliged""",,,,Alive,"	    ""The Obliged"" to Present",African-American
Heath,Corey Hawkins,Male,Brown,Mid to late 20s,Supply Runner for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""First Time Again""","""Swear"" (Unknown)",,,Unknown,"	    ""First Time Again"" to ""Swear"" (Unknown)",African-American
Bruce,Ted Huckabee,Male,Brown,Early to mid 40s,Construction Worker at the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Spend""","""Do Not Send Us Astray""","""Do Not Send Us Astray""","Injured with a tainted weapon by the Saviors (Caused)Put down at his own request by Rick, Daryl, Maggie, Bertie or Carol (Out of Mercy)",Dead,"	    ""Spend"" to ""Do Not Send Us Astray""",Caucasian-American
Tobin,Jason Douglas,Male,Brown (Graying),Late 40s to Early 50's,Laborer (Pre-Apocalypse)Former Construction Foreman for the Alexandria Safe-Zone (Post-Apocalypse)Former Look-Out for the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Carol Peletier - Ex-Girlfriend(Unnamed) - Relatives,"""Forget""","""What Comes After"" (Dream, Corpse)","""Do Not Send Us Astray""","Injured by Derek with a tainted weapon and succumbed to the infection (Alive)Stabbed in the head by Carol Peletier (Zombified, Out of Mercy)",Dead,"	    ""Forget"" to ""Do Not Send Us Astray""",Caucasian-American
Kent,David Marshall Silverman,Male,Dark brown,Mid 40s,Member of the Militia (Post-Apocalypse),Unknown,"""Forget""","""The First Day of the Rest of Your Life""","""How It's Gotta Be"" (Off-Screen)",Grenade attack caused by The Saviors.,Dead,"	    ""Forget"" to ""The First Day of the Rest of Your Life""",Caucasian-American
Anna,Vanessa Cloke,Female,Brown,Late 30s to Early 40s,Unknown,Unknown,"""Now""","""Service""","""How It's Gotta Be"" (Off-Screen)",Grenade attack caused by the Saviors.,Dead,"	    ""Now"" to ""Service""",Caucasian-American
Mikey,Elijah Marcano,Male,Black,Mid to late Teens,School Student (Pre-Apocalypse),Unknown,"""Remember""","""Forget""",,Grenade attack caused by the Saviors. (Off-Screen),Dead,"	    ""Remember"" to ""Forget""",Caucasian-American
Francine,Dahlia Legault,Female,Dark brown,Late 20s to early 30s,Military/Police Officer (Pre-Apocalypse)Construction Worker at the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Unknown,"""Spend""","""What Comes After"" (Dream, Corpse)","""The Damned""","Shot in the chest by an unnamed Savior. (Alive)Put down by an unnamed Militia member. (Before or After Reanimation, Assumed)",Dead,"	    ""Spend"" to ""The Damned""",Caucasian-American
Olivia,Ann Mahoney,Female,Black,Late 30s to early 40s,Coffee shop employee (Pre-Apocalypse)Inventory Manager at the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""Remember""","""Hearts Still Beating""","""Hearts Still Beating""",Shot in the face by Arat at the order of Negan.,Dead,"	    ""Remember"" to ""Hearts Still Beating""",Caucasian-American
Denise Cloyd,Merritt Wever,Female,Dirty blonde,Early to mid 30s,Psychiatrist (Pre-Apocalypse)Medic for the Alexandria Safe-Zone (Post-Apocalypse),Tara Chambler - Former GirlfriendDennis Cloyd - Twin Brother (Deceased),"""JSS""","""Twice as Far""","""Twice as Far""",Accidentally shot through the eye with Daryl's crossbow by Dwight.,Dead,"	    ""JSS"" to ""Twice as Far""",Caucasian-American
Nicholas,Michael Traynor,Male,Dark Brown,Late 30s to early 40s,Supply Runner for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""Remember""","""Heads Up"" (Corpse; Voice Only)","""Thank You""",Suicide via self-inflicted gunshot to the head.,Dead,"	    ""Remember"" to ""Thank You""",Caucasian-American
Tommy,Duane Kicak,Male,Blonde,Early 30s,Construction Worker for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""Forget""","""Thank You""","""Thank You""",Devoured by walkers (Alive) Stabbed in the head by Rick Grimes. (Before Reanimation),Dead,"	    ""Forget"" to ""Thank You""",Caucasian-American
Annie,Beth Keener,Female,Brown,Mid 20s,Supply Runner for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""First Time Again""","""Thank You""","""Thank You""",Devoured by walkers.,Dead,"	    ""First Time Again"" to ""Thank You""",Caucasian-American
Will,Unknown,Male,Red,19,Supply Runner for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""Thank You"" (Zombified)","""Thank You"" (Zombified)","""Thank You"" (Zombified)","Devoured by walkers (Alive, Off-Screen)Stabbed in the head by Nicholas (Zombified)",Dead,,Caucasian-American
Sturgess,Jonathan Kleitman,Male,Brown,Early to mid 20's,Gardener for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""First Time Again""","""Thank You""","""Thank You""",Devoured by walkers.,Dead,"	    ""First Time Again"" to ""Thank You""",Caucasian-American
Barnes,Justin Miles,Male,Brown,Late 20s to early 30s,,,"""First Time Again""","""Thank You""","""Thank You""",Throat ripped out by a walker and then stabbed in the head by Michonne to prevent reanimation.,Dead,"	    ""First Time Again"" to ""Thank You""",Caucasian-American
Stacy,Stacy Payne,Female,Brown,Late 30s to early 40s,Unknown,Unknown,"""Remember""","""JSS"" (Corpse)","""JSS""",Killed by Wolves,Dead,"	    ""Remember"" to ""JSS""",Caucasian-American
Bobby,Robert Morato,Male,Black,Mid 40s,Unknown,Unknown,"""Remember""","""Now""","""JSS""",Killed by the Wolves.,Dead,"	    ""Remember"" to ""Now""",Caucasian-American
Michael,Mikey Leo,Male,Brown,Late 20s to early 30s,Unknown,Unknown,"""First Time Again""","""Now"" (Corpse)","""JSS""",Killed by Wolves,Dead,"	    ""First Time Again"" to ""JSS""",Caucasian-American
Holly,Laura Beamer,Female,Blonde,Early 20s,Gate Duty at the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""JSS""","""What Comes After"" (Dream, Corpse)","""JSS""",Stabbed by a member of the Wolves and died from blood loss. Later stabbed in the head by Denise Cloyd.,Dead,"	    ""JSS""",Caucasian-American
Erin,Tiffany Morgan,Female,Brown,Late 30s to Early 40s,Unknown,Unknown,"""Forget""","""JSS""","""JSS""",Abdomen sliced open by Aphid then stabbed in the head by Carol.,Dead,"	    ""Forget"" to ""JSS""",Caucasian-American
Samantha,Sierra Laird,Female,Blonde,Mid 20s,Unknown,Unknown,"""JSS""","""Now""","""JSS""",Killed by the Wolves. (Alive)Put down by an Alexandria resident. (Zombified),Dead,"	    ""JSS""",Caucasian-American
Jeffery,Jackson Ward,Male,Brown,Mid 20s,Unknown,Unknown,"""JSS""","""JSS""","""JSS""",Throat slashed by the Wolves. (Alive)Stabbed in the head by Morgan Jones (Zombified),Dead,,Caucasian-American
Dinesh,Cal Johnson,Male,Brown,Early 40s,,,"""JSS""","""Now""","""JSS""",Killed by the Wolves.,Dead,,Caucasian-American
Dan,Keith Brooks,Male,Brown,Mid 40s,Unknown,Unknown,"""Alone""","""A""","""A""",Disemboweled and then repeatedly stabbed to death by Rick Grimes.,Dead,"	    ""Alone"" to ""A""",Caucasian-American
Charlyne,Unknown,Female,Brown,Late 30s,Unknown,Unknown,"""JSS""","""Now"" (Corpse)","""JSS""",Dismembered by a Wolf,Dead,,Caucasian-American
O'Hara,None,Male,Brown,Early 30s,Unknown,Unknown,"""JSS"" (Corpse)","""Now"" (Corpse)","""JSS""",Dismembered with an axe by an unnamed Wolf,Dead,,Caucasian-American
Adrian,Andrew Rusk,Male,Auburn,Early 30s,,,"""JSS""","""Now""","""JSS""",Stabbed to death by a Wolf,Dead,"	    ""JSS""",Caucasian-American
Richards,Darian FisherDalton Louis Simons (Zombified),Male,Brown,Late 20s to Early 30s,Guard of the Alexandria Safe-Zone (Post-Apocalypse),,"""JSS""","""JSS""","""JSS""",Burned alive by the Wolves and then stabbed in the head by Maggie Greene.,Dead,"	    ""JSS""",Caucasian-American
Park,Bayland Rippenkroeger,Male,Brown,Mid 20s,,,"""JSS""","""Now"" (Corpse)","""JSS""",Stabbed in the chest with a wooden spear by a Wolf.,Dead,"	    ""JSS""",Caucasian-American
Shelly Neudermeyer,Susie Spear Purcell,Female,Auburn,Mid 40s,Unknown,Unknown,"""Forget""","""JSS""","""JSS""",Stomach slashed open and head hacked by an unnamed Wolf.,Dead,"	    ""Forget"" to ""JSS""",Caucasian-American
Carter,Ethan Embry,Male,Brown,Late 30s,Construction Worker at the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""First Time Again""","""First Time Again""","""First Time Again""",Bitten on the cheek by a walker (Caused)Stabbed in the back of the head by Rick Grimes (Out of Mercy),Dead,,Caucasian-American
Eric Raleigh,Jordan Woods-Robinson,Male,Auburn,Late 20s to early 30s,NGO Worker (Pre-Apocalypse)Former Recruiter for the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse),Aaron - Former Boyfriend,"""The Distance""","""Monsters""","""Monsters""","Shot in the abdomen by a Savior, bled out and reanimated due to untreated injuries. (Alive)",Undead,"	    ""The Distance"" to ""Monsters""",Caucasian-American
Bob Miller,Curtis Jackson,Male,Gray,Mid 70s,,Natalie Miller - Former Wife (Deceased)(Unnamed) - 5 Children(Unnamed) - 12 Grandchildren,"""Remember""","""Do Not Send Us Astray""",,Natural Causes (Off-Screen),Dead,"	    ""Remember"" to ""Do Not Send Us Astray""",Caucasian-American
Natalie Miller,Helen Jackson,Female,Gray,Mid 70s,,Bob Miller - Former Husband (Deceased)(Unnamed) - 5 Children (Unnamed) - 12 Grandchildren,"""Remember""","""First Time Again""","""JSS""  (Off-Screen)",Killed by the Wolves.,Dead,"	    ""Remember"" to ""First Time Again""",Caucasian-American
Spencer Monroe,Austin Nichols,Male,Brown,Late 20s to early 30s,Lookout for the Alexandria Safe-Zone (Post-Apocalypse),Deanna Monroe - Mother (Deceased)Reg Monroe - Father (Deceased) Aiden Monroe - Brother (Deceased)Rosita Espinosa - Ex-Lover,"""Forget""","""Hearts Still Beating""","""Hearts Still Beating""",Disemboweled by Negan. (Alive)Stabbed in the forehead by Rick Grimes. (Zombified),Dead,"	    ""Forget"" to ""Hearts Still Beating""",Caucasian-American
Deanna Monroe,Tovah Feldshuh,Female,Auburn,Late 50s,Ohio U.S. Congresswoman  (Pre-Apocalypse)  Former Leader of the Alexandria Safe-Zone (Post-Apocalyse),Reg Monroe - Former Husband (Deceased)Aiden Monroe - Son (Deceased)Spencer Monroe - Son (Deceased),"""Remember""","""The Day Will Come When You Won't Be"" (Archive Footage)","""Start to Finish"" (Alive)""The Next World"" (Zombified)",Bitten by a walker (Alive)Stabbed in the head by Spencer Monroe (Zombified),Dead,"	    ""Remember"" to ""Start to Finish""",Caucasian-American
Reg Monroe,Steve Coulter,Male,Gray,Late 50s to Early 60s,Professor of Architecture (Pre-Apocalypse)Head Architect for The Alexandria Safe-Zone  (Post-Apocalypse),Deanna Monroe - Former Wife (Deceased)Aiden Monroe - Son (Deceased)Spencer Monroe - Son (Deceased),"""Forget""","""First Time Again"" (Flashback, Corpse)","""Conquer""","Throat accidentally sliced open by Pete Anderson and quickly dies of blood loss. (Alive)Put down by Abraham Ford (Before Reanimation, Off-Screen)",Dead,"	    ""Forget"" to ""Conquer""",Caucasian-American
Aiden Monroe,Daniel Bonjour,Male,Black,Late 20s to early 30s,Army R.O.T.C. College Student (Pre-Apocalypse)Supply Runner for the Alexandria Safe-Zone  (Post-Apocalypse),Reg Monroe - Father (Deceased)Deanna Monroe - Mother (Deceased)Spencer Monroe - Brother (Deceased),"""Remember""","""Spend""","""Spend""",Impaled by three metal bars after accidentally shooting a grenade and later devoured by walkers,Dead,"	    ""Remember"" to ""Spend""",Caucasian-American
Ron Anderson,Austin Abrams,Male,Light Brown,Mid to late teens,Student (Pre- and Post-Apocalypse),Pete Anderson - Father (Deceased)Jessie Anderson - Mother (Deceased)Sam Anderson - Brother (Deceased)Enid - Ex-Girlfriend,"""Remember""","""No Way Out""","""No Way Out""","Stabbed through the heart by Michonne to protect Rick from being shot, then immediately devoured by walkers.",Dead,"	    ""Remember"" to ""No Way Out""",Caucasian-American
Jessie Anderson,Alexandra Breckenridge,Female,Blonde,Early to Mid 30s,Hair Stylist (Pre-Apocalypse)Pantry Worker for the Alexandria Safe-Zone (Post-Apocalypse),Pete Anderson - Former Husband (Deceased)Ron Anderson - Son (Deceased)Sam Anderson - Son (Deceased),"""Remember""","""No Way Out""","""No Way Out""",Devoured by walkers.,Dead,"	    ""Remember"" to ""No Way Out""",Caucasian-American
Sam Anderson,Major Dodson,Male,Dirty Blond,10-12,Assumed Elementary School Student (Pre-Apocalypse),Pete Anderson - Father (Deceased)Jessie Anderson - Mother (Deceased)Ron Anderson - Brother (Deceased),"""Remember""","""No Way Out""","""No Way Out""",Devoured by walkers.,Dead,"	    ""Remember"" to ""No Way Out""",Caucasian-American
Pete Anderson,Corey Brill,Male,Blond,Mid 30s,Surgeon (Pre-Apocalypse)Doctor for the Alexandria Safe-Zone (Post-Apocalypse),Jessie Anderson - Former Wife (Deceased)Ron Anderson - Son (Deceased)Sam Anderson - Son (Deceased),"""Remember""","""First Time Again"" (Flashback, Corpse)","""Conquer""",Shot in the head by Rick Grimes,Dead,"	    ""Remember"" to ""Conquer""",Caucasian-American
Betsy,Jasmine Kaur,Female,Brown,Late 20s to early 30s,Unknown,David - Former Husband (Deceased),"""Now""","""Now""","""Now"" (Alive and Zombified)","Slashing her own wrist (Alive, Suicide)  Stabbed in the eye socket by Jessie. (Zombified)",Dead,,Caucasian-American
Aphid,Duke Jackson,Male,Brown,Early to mid 30s,Unknown,Unknown,"""JSS""","""JSS""","""JSS""",Stabbed in the head by Carol Peletier,Dead,"	    ""JSS""",Caucasian-American
Siddiq,Avi Nash,Male,Dark Brown,Mid 30s,Resident Doctor (Pre-Apocalypse)Medic for the Alexandria Safe-Zone (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Councilmember for the Alexandria Safe-Zone (Post-Apocalypse),(Unnamed) - Mother (Deceased)(Unnamed) - Father (Deceased)(Unnamed) - Aunt,"""Mercy""",,,,Alive,"	    ""Mercy"" to Present",Arab-American
Eastman,John Carroll Lynch,Male,Black (Balding),Late 40s,Forensic psychiatrist (Pre-Apocalypse),(Unnamed) - Former Wife (Deceased)(Unnamed) - Daughter (Deceased)(Unnamed) - Son (Deceased)Tabitha - Pet (Deceased),"""Here's Not Here"" (Flashback)","""Here's Not Here"" (Flashback)","""Here's Not Here"" (Flashback)","Bitten by a walker. (Alive) Shot in the head by Morgan Jones. (Before Reanimation, Off-Screen)",Dead,"	    ""Here's Not Here""",Caucasian-American
Negan,Jeffrey Dean Morgan,Male,Black (Graying),Early to Mid 50s,Unspecified profession dealing with children (Pre-Apocalypse)Former Leader of the Saviors (Post-Apocalypse),"Lucille - Former Wife (Deceased)(Unnamed) - MotherSherry - Former ""Wife""Amber - Ex-""Wife""Tanya - Ex-""Wife""Frankie - Ex-""Wife""Two Unnamed Ex-""Wives"" Several Stray Dogs (Deceased)","""Last Day on Earth""",,,,Alive,"	    ""Last Day on Earth"" to Present",Caucasian-American
Laura,Lindsley Register,Female,Blonde,Late 20s to Early 30s,Former Lieutenant of the Saviors (Post-Apocalypse)Member of the Militia (Post-Apocalypse)Councilmember for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""The Cell""",,,,Alive,"	    ""The Cell"" to Present",Caucasian-American
Frankie,Elyse Nicole DuFour,Female,Ginger,Late 20s to early 30s,Masseuse (Pre-Apocalypse)Former Servant for Eugene Porter (Post-Apocalypse)Gardener for the Sanctuary (Post-Apocalypse),"Negan - Ex-""Husband""","""Sing Me a Song""",,,,Alive,"	    ""Sing Me a Song"" to Present",Caucasian-American
Alden,Callan McAuliffe,Male,BrownBlond (Dyed),Mid to Late 20s,Former Worker for the Saviors (Post-Apocalypse)Former Member of the Militia (Post-Apocalypse)Head of the Construction Crew for Hilltop Colony (Post-Apocalypse)Blacksmith (Post-Apocalypse),(Unnamed) - Brother (Deceased)Enid - Girlfriend,"""The Damned""",,,,Alive,"	    ""The Damned"" to Present",Caucasian-American
Gracie,Scarlett and Sophia (Season 8)Anabelle Holloway (Season 9),Female,Blonde,"5 months (Season 8)2 (""A New Beginning"")8 (""Who Are You Now?"")",,(Unnamed) - Father (Deceased)(Unnamed) - Mother (Deceased)Aaron - Adoptive Father,"""The Damned""",,,,Alive,"	    ""The Damned"" to Present",Caucasian-American
D.J.,Matt Mangum,Male,Blond/Brown (Graying),Early to Mid 40s,Former Guard for the Saviors (Post-Apocalypse)Former Lieutenant of the Saviors (Post-Apocalypse)Former Biofuel Producer (Post-Apocalypse)Lieutenant for the Alexandria Safe-Zone (Post-Apocalypse),Unknown,"""How It's Gotta Be""",,,,Alive,"	    ""How It's Gotta Be"" to Present",Caucasian-American
Amber,Autumn Dial,Female,Blonde,Early 20s,Unknown,"Negan - Ex-""Husband"" Mark - Boyfriend","""Sing Me a Song""",,,,Unknown,"	    ""Sing Me a Song"" to Present",Caucasian-American
Tanya,Chloe Aktas,Female,Dark Brown,Early to mid 30s,Chef (Pre- and Post-Apocalypse)Gardener for the Sanctuary (Post-Apocalypse),"Negan - Ex-""Husband""","""Sing Me a Song""",,,,Unknown,"	    ""Sing Me a Song"" to Present",Caucasian-American
Mark,Griffin Freeman,Male,Brown,Early to Mid 20s,Guard for the Saviors (Post-Apocalypse),Amber - Girlfriend,"""Sing Me a Song""","""Time for After"" (Unknown)",,,Unknown,"	    ""Sing Me a Song"" to ""Time for After"" (Unknown)",Caucasian-American
Gina,Gina Stewart,Female,Brown,Mid to late 50s,Former Vendor for the Saviors (Post-Apocalypse)Former Worker at Eugene's Bullet Factory Outpost (Post-Apocalypse),Unknown,"""Hostiles and Calamities""",,,,Unknown,"	    ""Hostiles and Calamities"" to Present",Caucasian-American
Potter,Jon Eyez,Male,Bald,Mid to late 50s,Worker for the Saviors (Post-Apocalypse),Unknown,"""The Big Scary U""",,,,Unknown,"	    ""The Big Scary U"" to Present",African-American
José,José Michael Vasquez,Male,Brown,Mid to late 30s,Worker for the Saviors (Post-Apocalypse),Unknown,"""The Big Scary U""","""Worth"" (Unknown)",,,Unknown,"	    ""The Big Scary U"" to ""Worth"" (Unknown)",Hispanic-American
Brooke,Brooke Jaye Taylor,Female,Red,Early to mid 40s,Worker for the Saviors (Post-Apocalypse),Unknown,"""The Big Scary U""",,,,Unknown,"	    ""The Big Scary U"" to Present",Caucasian-American
Mel,Courtney Patterson,Female,Brown,Early 40s,Unknown,Unknown,"""Dead or Alive Or""",,,,Unknown,"	    ""Dead or Alive Or"" to Present",Caucasian-American
John,Scott Deckert,Male,Dirty blond,Late 20s,Worker for the Saviors (Post-Apocalypse),Unknown,"""Dead or Alive Or""",,,,Unknown,"	    ""Dead or Alive Or"" to Present",Caucasian-American
Regina,Traci Dinwiddie,Female,Brown,Late 40s,Former Lieutenant of the Saviors (Post-Apocalypse)Former Head of the Shephard Office Plaza (Post-Apocalypse)Former Biofuel producer (Post-Apocalypse)Savior Marauder (Post-Apocalypse),Unknown,"""Mercy""","""Who Are You Now?""","""Who Are You Now?""",Burned alive by Carol Peletier.,Dead,"	    ""Mercy"" to ""Who Are You Now?""",Native-American
Jed,Rhys Coiro,Male,Dark Brown,Early 40s,Leader of the Savior Marauders (Post-Apocalypse),Unknown,"""The Bridge""","""Who Are You Now?""","""Who Are You Now?""",Burned alive by Carol Peletier.,Dead,"	    ""The Bridge"" to ""Who Are You Now?""",Caucasian-American
Norris,Aaron Farb,Male,Brown,Mid 30s,,Unknown,"""How It's Gotta Be""",“What Comes After” (Zombified),"""The Obliged"" (Alive, Off-Screen)“What Comes After” (Zombified)","Shot by one of the armed survivors. (Alive, Off-Screen)Shot in the head by Rick Grimes (Zombified)",Dead,"	    ""How It's Gotta Be"" to  ""The Obliged""",Caucasian-American
Arat,Elizabeth Ludlow,Female,Blonde (Dyed)Black,Mid to late 20s,Former Lieutenant of the Saviors (Post-Apocalypse)Road patrol between the joint communities (Post-Apocalypse),Unknown,"""The Cell"" (Voice Only)""Service""","""Warning Signs""","""Warning Signs""",Speared in the back of the head by Cyndie.,Dead,"	    ""The Cell"" to ""Warning Signs""",Middle Eastern-American
Justin,Zach McGowan,Male,Dark Brown,Mid to Late 30s,Unknown,Unknown,"""A New Beginning""","""Warning Signs"" (Zombified)","""The Bridge"" (Alive)""Warning Signs"" (Zombified)","Shot in the chest with a spear gun by Beatrice. (Alive)Put down by Maggie Rhee or Kal. (Zombified, Off-Screen)",Dead,"	    ""A New Beginning"" to ""The Bridge""",Caucasian-American
Simon,Steven Ogg,Male,"Black (Graying, Balding)",Mid to late 40s,Mortgage Broker (Pre-Apocalypse)Former Second-in-Command of the Saviors (Post-Apocalypse)Former Head of the Satellite Outpost (Post-Apocalypse)Former De-Facto Leader of the Saviors (Post-Apocalypse),Unknown,"""Last Day on Earth""","""Worth""","""Worth"" (Alive)""Wrath"" (Zombified, Off-Screen)","Strangled by Negan (Alive) Put down by a Sanctuary resident (Zombified, Assumed, Off-Screen)",Dead,"	    ""Last Day on Earth"" to ""Worth""",Caucasian-American
Duke,Stephen Shelton,Male,,Late 30s,Unknown,Unknown,"""Wrath""","""Wrath""","""Wrath""",Stabbed in the chest and throat slit by Morgan Jones.,Dead,"	    ""Wrath""",Caucasian-American
Lance,Colin Dennard,Male,Blue (Dyed),Early to mid 20s,Unknown,Unknown,"""Wrath""","""Wrath""","""Wrath""",Shot by the Militia.,Dead,"	    ""Wrath""",Caucasian-American
Gary,Mike Seal,Male,Black,Mid to late 30s,Former Lieutenant of the Saviors (Post-Apocalypse),Unknown,"""Service""","""Worth""","""Worth""","Shot by Arat, Norris, D.J. and other fellow Saviors. (Alive)Head bashed in by Negan using his baseball bat, Lucille. (Before Reanimation)",Dead,"	    ""Service"" to ""Worth""",African-American
Reilly,Lane Miller,Male,Brown,Late 20s to early 30s,Unknown,Unknown,"""Still Gotta Mean Something""","""Still Gotta Mean Something""","""Still Gotta Mean Something""",Chopped in the neck and later shot in the head by Rick.,Dead,"	    ""Still Gotta Mean Something""",Caucasian-American
Jared,Joshua Mikel,Male,Brown,Late 20s to Early 30s,Unknown,Unknown,"""The Well""","""Wrath"" (Hallucination)","""Still Gotta Mean Something""",Trapped by Morgan Jones and devoured by walkers.,Dead,"	    ""The Well"" to ""Still Gotta Mean Something""",Caucasian-American
Evan,Mark Ashworth,Male,Brown,Late 30s,Unknown,Unknown,"""Still Gotta Mean Something""","""Still Gotta Mean Something""","""Still Gotta Mean Something""",Devoured by walkers,Dead,"	    ""Still Gotta Mean Something""",Caucasian-American
Katy,Katy O'BrianBethany Kasulas,Female,Brown,Late 20s,Unknown,Unknown,"""The Damned""","""Do Not Send Us Astray""","""Do Not Send Us Astray""",Shot with a tainted arrow by the Saviors. (Alive) Stabbed in the head by Siddiq (Zombified),Dead,"	    ""The Damned"" to ""Do Not Send Us Astray""",Caucasian-American
Keno,Unknown,Male,Brown,Late 20s to early 30s,Guard for the Saviors (Post-Apocalypse),Unknown,"""Last Day on Earth""","""Do Not Send Us Astray""","""Do Not Send Us Astray""",Stabbed by Morgan Jones.,Dead,"	    ""Last Day on Earth"" to ""Do Not Send Us Astray""",Caucasian-American
Derek,Dan Johnson,Male,Black,Late 40s,Unknown,Unknown,"""Dead or Alive Or""","""Do Not Send Us Astray""","""Do Not Send Us Astray""",Shot by Carol Peletier,Dead,"	    ""Dead or Alive Or"" to ""Do Not Send Us Astray""",Caucasian-American
Dean,Adam Fristoe,Male,Brown,Late 30s to early 40s,Unknown,Unknown,"""The Damned""","""The Lost and the Plunderers"" (Zombified)","""How It's Gotta Be"" (Alive)""The Lost and the Plunderers"" (Zombified)",Shot in the cheek by Maggie Rhee. (Alive)Shot multiple times in the head with a nail gun by Negan. (Zombified),Dead,"	    ""The Damned"" to ""How It's Gotta Be""",Caucasian-American
Gavin,Jayson Warner Smith,Male,Brown,Mid to late 40s,Construction Foreman (Pre-Apocalypse) Former Lieutenant of the Saviors (Post-Apocalypse)Former Head of the Chemical Plant Outpost (Post-Apocalypse),Unknown,"""The Well""","""Do Not Send Us Astray"" (Hallucination)","""Honor""",Stabbed through the nape by Henry (Alive)Stabbed in the head by Carol Peletier (Before Reanimation),Dead,"	    ""The Well"" to  ""Honor""",Caucasian-American
Gomez,Unknown,Male,Brown,Mid 30s,Unknown,Unknown,"""Honor""","""Honor""","""Honor""",Killed by either Carol Peletier or Morgan Jones,Dead,"	    ""Honor""",Hispanic-American
